,sensor,coef,pval,n_datapoints
0,CCL11,-0.9999999999999999,,2
0,CCL2,0.9724032780636553,1.5336487431998442e-34,54
0,CCL22,0.9412587412587414,7.038096327027424e-32,66
0,CCL3,0.3065666041275798,0.05435108852666972,40
0,CCL4,-0.015619433864680309,0.8986378974830724,69
0,CCL5,0.6874245472837022,3.567100872817493e-11,71
0,CCL7,0.9767318878900052,3.7537812604730253e-41,61
0,CXCL1,0.9617464377055173,2.1220556807178135e-39,69
0,CXCL10,0.7494270435446906,3.3965747230198726e-07,34
0,CXCL9,0.9242979242979243,5.920570187871689e-12,27
0,G-CSF,0.7673874926943309,1.3492143130794266e-12,59
0,GM-CSF,0.8886363636363637,5.261992490304679e-23,65
0,IFN gamma,0.9750874125874125,6.446444469248842e-43,65
0,IL-1 alpha,0.9635052447552447,9.056231846200407e-38,65
0,IL-1 beta,0.9862988673730363,3.621875013084412e-54,69
0,IL-1 RA RN,0.9169429754033902,1.9510668924951206e-28,69
0,IL-10,0.9796610169491528,1.8661033008890958e-41,59
0,IL-12 p40,0.8603797934662851,1.5119141655457157e-16,53
0,IL-12 p70,,,1
0,IL-17A,0.9505494505494506,6.363704773478595e-07,13
0,IL-17F,0.9774436090225563,1.322934226421056e-13,20
0,IL-2,0.9877899877899877,1.0402718455122128e-21,27
0,IL-22,0.2945266167114478,0.15295584760223538,25
0,IL-27,-0.9999999999999999,,2
0,IL-3,,,10
0,IL-4,0.9636363636363635,7.320974809529922e-06,10
0,IL-5,0.9785714285714284,2.64545601239875e-10,15
0,IL-6,0.4504201680672269,0.00010297808307766868,69
0,IL-8,-0.7999999999999999,0.20000000000000007,4
0,IL-9,0.942857142857143,0.004804664723032055,6
0,TNF alpha,0.7398976982097187,3.7837743857678487e-13,69
0,TNF beta,-0.10714285714285714,0.7039010016261615,15
